tau (fs),Oscillatory component,Cation Signal,Baseline
200.23,8.94,2794.00,2785.06
220.21,358.68,3143.00,2784.32
240.25,481.43,3265.00,2783.57
260.16,790.17,3573.00,2782.83
280.18,649.91,3432.00,2782.09
300.17,271.65,3053.00,2781.35
320.24,-341.61,2439.00,2780.61
340.29,-656.88,2123.00,2779.88
360.24,-832.15,1947.00,2779.15
380.23,-789.43,1989.00,2778.43
400.18,-718.71,2059.00,2777.71
420.16,-426.00,2351.00,2777.00
440.20,-35.30,2741.00,2776.30
460.24,468.40,3244.00,2775.60
480.27,865.10,3640.00,2774.90
500.26,1049.79,3824.00,2774.21
520.22,807.48,3581.00,2773.52
540.16,355.16,3128.00,2772.84
560.16,199.83,2972.00,2772.17
580.25,23.50,2795.00,2771.50
600.25,-143.83,2627.00,2770.83
620.21,-131.18,2639.00,2770.18
640.20,-217.54,2552.00,2769.54
660.19,-177.91,2591.00,2768.91
680.19,-515.29,2253.00,2768.29
700.23,-546.69,2221.00,2767.69
720.21,-476.10,2291.00,2767.10
740.23,-321.53,2445.00,2766.53
760.21,-266.97,2499.00,2765.97
780.18,96.58,2862.00,2765.42
800.16,468.11,3233.00,2764.89
820.17,756.63,3521.00,2764.37
840.19,856.13,3620.00,2763.87
860.21,655.61,3419.00,2763.39
880.23,-9.92,2753.00,2762.92
900.25,-462.47,2300.00,2762.47
920.24,-670.03,2092.00,2762.03
940.20,-672.62,2089.00,2761.62
960.17,-663.23,2098.00,2761.23
980.20,-551.86,2209.00,2760.86
1000.17,-229.01,2531.50,2760.51
1020.29,-104.18,2656.00,2760.18
1040.21,13.13,2773.00,2759.87
1060.22,-6.58,2753.00,2759.58
1080.20,91.69,2851.00,2759.31
1100.18,221.94,2981.00,2759.06
1120.26,217.17,2976.00,2758.83
1140.24,519.39,3278.00,2758.61
1160.29,572.58,3331.00,2758.42
1180.27,694.76,3453.00,2758.24
1200.21,110.91,2869.00,2758.09
1220.20,-241.95,2516.00,2757.95
1240.20,-617.83,2140.00,2757.83
1260.22,-819.74,1938.00,2757.74
1280.20,-728.67,2029.00,2757.67
1300.24,-733.61,2024.00,2757.61
1320.25,-572.58,2185.00,2757.58
1340.16,-321.57,2436.00,2757.57
